N,CUDA Kernel,CUDA Kernel with memory optimization,Torch (native),Torch (compiled)
256.000000,2.131865,3.548561,15.168029,7.673855
384.000000,2.372473,4.005474,14.598700,10.102321
512.000000,2.262983,3.654025,13.580598,13.847950
640.000000,2.158146,3.653745,13.709886,13.790375
768.000000,2.075584,3.671507,13.362574,13.615669
896.000000,2.087129,3.668378,13.399435,13.734267
1024.000000,2.124930,3.639886,13.466013,13.500747
1152.000000,2.081169,3.650383,13.464969,13.451815
1280.000000,2.048188,3.566889,13.278313,13.290565
1408.000000,2.087177,3.569446,13.195087,13.444076
1536.000000,2.087060,3.564780,13.294205,13.280810
1664.000000,2.076833,3.594241,13.134918,13.169739
1792.000000,2.078570,3.588982,12.711861,13.011104
1920.000000,2.069900,3.584445,13.076223,13.036253
2048.000000,2.134451,3.593311,13.029836,13.367533
2176.000000,2.097700,3.535150,13.160643,13.156834
2304.000000,2.114519,3.555902,13.045644,12.946780
2432.000000,2.121743,3.541430,13.013616,12.949444
2560.000000,2.063310,3.586737,12.781526,12.746723
2688.000000,2.107071,3.531190,12.638376,13.131420
2816.000000,2.111730,3.577513,12.747828,12.919051
2944.000000,2.094754,3.531201,12.876652,12.858125
3072.000000,2.089119,3.512636,12.962453,13.057310
3200.000000,2.089267,3.534865,11.445018,11.645407
3328.000000,2.098386,3.497489,11.421606,11.550895
3456.000000,2.083165,3.547956,14.032367,13.854053
3584.000000,2.101021,3.554816,13.899610,13.896662
3712.000000,2.097582,3.545714,14.155979,14.368200
3840.000000,2.069249,3.549504,14.170082,14.326304
3968.000000,2.110782,3.610176,14.181552,14.217644
4096.000000,2.152105,3.606874,14.190289,14.190176
4224.000000,2.112129,3.609112,14.199888,14.199267
4352.000000,2.090429,3.595787,14.204709,14.312602
4480.000000,2.122023,3.554386,14.214393,14.425075
4608.000000,2.115735,3.581708,14.217151,14.220565
4736.000000,2.108612,3.551995,14.115340,14.224058
4864.000000,2.114225,3.549276,14.229048,14.234849
4992.000000,2.098753,3.520584,14.235318,14.240871
5120.000000,2.089188,3.540165,14.240946,14.319305
5248.000000,2.099833,3.505140,14.247863,14.248493
5376.000000,2.103510,3.541356,14.255319,14.462548
5504.000000,2.112578,3.538352,14.177051,14.261088
5632.000000,2.120409,3.537460,14.154400,14.371739
5760.000000,2.100025,3.537485,14.266933,14.271915
5888.000000,2.094675,3.537963,14.269987,14.275787
6016.000000,2.130177,3.537653,14.071208,14.062482
6144.000000,2.088738,3.536631,14.907262,15.473584
6272.000000,2.114596,3.535094,14.702669,15.183161
6400.000000,2.113226,3.520616,14.996315,15.189240
6528.000000,2.103903,3.520692,14.812736,15.177604
6656.000000,2.124809,3.535382,14.934230,15.361880
6784.000000,2.100198,3.536560,14.768885,15.182317
6912.000000,2.098998,3.537911,14.738140,15.196993
7040.000000,2.092160,3.536275,14.762869,15.198206
7168.000000,2.102845,3.535571,14.953707,15.388446
7296.000000,2.091839,3.516289,14.768822,15.170381
7424.000000,2.095768,3.539214,14.859493,15.209554
7552.000000,2.105727,3.541640,14.981882,15.368608
7680.000000,2.087475,3.545560,15.168653,15.610025
7808.000000,2.104238,3.547682,14.700150,15.216758
7936.000000,2.119308,3.551296,14.787829,15.152097
8064.000000,2.086804,3.561969,14.972396,15.191712
8192.000000,2.133943,3.551128,14.974309,15.402247
8320.000000,2.091907,3.546107,14.880861,14.995072
8448.000000,2.100740,3.547982,15.008713,15.200581
8576.000000,2.112457,3.545129,15.015617,15.207376
8704.000000,2.082999,3.537849,15.220507,15.413710
8832.000000,2.110561,3.539355,14.725944,15.189054
8960.000000,2.092112,3.540554,14.788784,15.128597
9088.000000,2.097769,3.539282,14.988906,15.400076
9216.000000,2.101973,3.525803,15.195660,15.418270
9344.000000,2.093075,3.538658,14.764733,14.989780
9472.000000,2.096168,3.539737,14.785997,14.947062
9600.000000,2.080788,3.535901,14.988534,15.211608
9728.000000,2.101087,3.537409,14.987305,15.201824
9856.000000,2.090543,3.535172,15.004370,15.008081
9984.000000,2.086167,3.536725,14.766572,14.995660
10112.000000,2.097418,3.535249,14.994928,15.164304
10240.000000,2.076001,3.491649,14.974296,15.297220
10368.000000,2.094878,3.535867,14.988674,15.119793
10496.000000,2.092285,3.534952,14.785540,15.158710
10624.000000,2.094308,3.535298,15.136325,15.423937
10752.000000,2.105689,3.535250,15.208264,15.431849
10880.000000,2.095874,3.535330,14.760589,14.884815
11008.000000,2.094647,3.537359,14.987364,15.312468
11136.000000,2.095313,3.535854,15.282250,15.458944
11264.000000,2.099645,3.535473,15.320923,15.564813
11392.000000,2.094056,3.542277,14.976388,15.000704
11520.000000,2.096329,3.543958,15.088299,15.181915
11648.000000,2.089533,3.546784,15.301497,15.511863
11776.000000,2.091348,3.547766,14.883773,15.427225
11904.000000,2.082945,3.518122,14.982915,14.759568
12032.000000,2.105052,3.544759,14.957356,15.213799
12160.000000,2.082200,3.546855,15.313053,15.434805
12288.000000,2.083768,3.545498,15.222388,15.119998
12416.000000,2.083965,3.528131,14.768407,14.942668
12544.000000,2.097140,3.543123,14.832778,15.172897
12672.000000,2.087925,3.542884,15.360697,15.598726
